INFO:__main__:🚀 Бот запускается...
INFO:__main__:✅ База данных инициализирована
INFO:bot.api:✅ API routes настроены
INFO:aiogram.dispatcher:Start polling
INFO:__main__:🌐 Веб-сервер запущен на порту 8080
INFO:aiogram.dispatcher:Run polling for bot @cloaknetvbot id=8287902513 - 'CloakNet чат-Bot'
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:32:31 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:33:56 +0000] "GET /api/payments?telegram_id=2056591682 HTTP/1.0" 200 175 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:35:15 +0000] "GET /miniapp HTTP/1.0" 200 47814 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:35:15 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:35:17 +0000] "GET /miniapp HTTP/1.0" 200 47814 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:35:17 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:40:00 +0000] "GET /miniapp HTTP/1.0" 200 47814 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:40:00 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:40:14 +0000] "GET /miniapp HTTP/1.0" 200 47814 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:40:14 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:43:59 +0000] "GET /miniapp HTTP/1.0" 200 49888 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:43:59 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:44:03 +0000] "GET /miniapp HTTP/1.0" 200 49888 "-" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:08:44:03 +0000] "GET /api/user?telegram_id=2056591682 HTTP/1.0" 200 364 "https://test.cloaknet.site/miniapp" "Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.159 Mobile Safari/537.36 Telegram-Android/12.5.1 (Tecno TECNO CM7; Android 15; SDK 35; HIGH)"
INFO:aiohttp.access:44.223.42.199 [15/Mar/2026:08:50:44 +0000] "GET /PHQs HTTP/1.1" 404 174 "-" ""
INFO:aiohttp.access:44.223.42.199 [15/Mar/2026:08:50:45 +0000] "GET /sA5t HTTP/1.1" 404 174 "-" ""
INFO:aiohttp.access:44.223.42.199 [15/Mar/2026:08:50:46 +0000] "UNKNOWN / HTTP/1.0" 400 218 "-" "-"
INFO:aiohttp.access:44.223.42.199 [15/Mar/2026:08:50:47 +0000] "UNKNOWN / HTTP/1.0" 400 218 "-" "-"
INFO:aiohttp.access:216.180.246.104 [15/Mar/2026:08:56:11 +0000] "GET / HTTP/1.0" 404 174 "-" "Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; +https://www.nokia.com/genomecrawler)"
